pos x,pos y,vel,dist_to_wall,dist_to_other
366.3309693,532.1843972,2.447080909,1.157864571,33.42647475
366.9357143,532.1738095,1.012541564,1.157864571,32.95069898
366.4567308,531.8701923,0.9209696648,1.157864571,31.39421341
365.6811594,530.8188406,2.087995048,1.218804836,28.05848149
364.4389027,530.0374065,2.704924518,1.279745102,24.19368699
363.1063291,528.9189873,2.389515606,1.340685248,21.87442175
362.151671,530.0154242,1.601822196,1.340685248,20.25463036
361.9287671,528.4136986,2.276867399,1.401625514,17.31454953
361.0108696,526.111413,4.205864797,1.523506045,15.22770628
360.8833819,523.3790087,4.571298692,1.645386457,15.51300087
360.3447205,521.2919255,4.451416603,1.828207254,13.68861839
359.0612245,518.7823129,3.184581202,1.889147401,10.47411148
358.7128028,519.8373702,0.9959984305,1.889147401,7.664335277
358.625,520.9236111,0.499184974,1.889147401,4.394398568
359.1672862,518.7881041,2.209787484,1.950087667,3.122407772
359.6532258,517.3709677,3.045498902,2.071968079,4.696356676
360.027027,515.9504505,2.739236478,2.132908344,6.3577446
360.5322581,514.4731183,4.556135261,2.315729141,5.451613671
359.2669323,508.8804781,7.289478345,2.498549938,3.542019006
358.164,505.904,6.191539517,2.742310762,2.730906198
358.975,504.1666667,2.866360169,2.803251028,3.512790268
355.0197628,505.3715415,2.75646661,2.742310762,5.232907019
356.4666667,502.5964912,3.105617189,2.742310762,6.866493129
354.0517241,501.1034483,4.366383413,2.620430231,8.510647057
349.7115987,501.2413793,4.635128762,2.437609673,11.84682513
350.9211356,500.1955836,2.632358301,2.376669407,16.32412809
348.984472,497.8726708,3.589746684,2.315729141,18.18093931
345.1951952,499.0870871,4.542740128,2.132908344,18.00350951
344.8230088,497.9675516,2.600150244,2.071968079,18.15141884
344.1047904,496.8053892,2.657806925,2.071968079,18.29141217
345.1107872,494.4897959,3.751036513,2.071968079,18.03909011
345.5915916,492.2702703,5.318217081,2.071968079,18.52602644
345.6428571,487.5654762,7.600512644,2.132908344,26.36367335
348.3128834,482.8865031,9.729661836,2.254788876,40.10457643
351.0698413,477.2825397,vel,2.437609673,46.62481099
353.4220963,472.8470255,4.169907848,2.559490204,46.47746615
353.2102102,463.6846847,4.18766021,2.559490204,46.29530679
352.261236,455.2050562,4.205412572,2.559490204,46.12600032
354.2564103,448.1595442,4.223164934,2.620430231,46.00312771
353.7331536,444.5229111,4.240917295,2.620430231,45.90092671
354.0780781,437.6876877,4.258669657,2.620430231,45.76950816
354.6438746,435.1766382,4.276422019,2.681370497,45.65002113
354.7639257,430.9893899,4.29417438,2.681370497,45.61088312
353.9076517,429.2480211,4.311926742,2.620430231,45.59608293
353.3423913,425.8423913,4.329679104,2.620430231,45.50604838
353.7575758,419.3360882,4.347431466,2.559490204,45.35115932
352.0254237,414.2514124,4.365183827,2.559490204,45.19249299
352.9226519,408.9116022,4.382936189,2.559490204,44.99954984
