pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall,dist_to_other,angle_between,facing_angle,leg_dist
694.4525386,459.7637969,2.835248233,37.74411144,15.71373066,453,1468,0.450684574,15.81138802,727,473,728,464,-0.07990204646,35.13594049,0.1807343152,33.8138667,703,486,722,449,,,,,,,,,-0.9495067214,0.6788395481,,,,,0.08103914795,0.2033065746,0.0883874496,0.1826129348,2.089240654,2.415889341,3.283481806,0.4357815884,5.54556179,3.518092314,2.852526882,1.2419938,0.9381186294
694.7182448,459.5265589,2.82129074,37.47186249,15.26509147,433,1446,0.4063507443,15.81138802,727,473,728,464,-0.07508847678,34.98064227,0.1866914785,33.58104978,674,463,723,449,,,,,,,,,-2.655184174,0.6766183153,,,,,0.1106331518,0.4602030561,0.07270016072,0.1806454977,2.103485394,2.454406626,3.337125254,0.4287726105,5.54556179,3.529212578,2.865281175,1.2398185,0.9725359207
694.6811927,459.7844037,2.850903888,37.84186728,15.09954472,436,1495,0.4517043793,16.40122032,728,472,729,464,-0.06072164287,35.48751493,0.1684647186,34.57675216,723,449,,,,,,,,,,,0.6545532067,,,,,,0.1560705222,0.5919406826,0.07449735578,0.1721247832,2.118085645,2.473477014,3.380978001,0.4543654353,5.54556179,3.53598227,2.864338695,1.230872707,0.9571654912
694.8299776,459.4787472,2.845162252,37.75915785,15.55893636,447,1487,0.5077022383,14.21267033,727,473,729,464,-0.1014576606,34.89605446,0.164878217,34.46784234,723,449,,,,,,,,,,,0.6525527176,,,,,,0.1177191632,0.370289418,0.08731198682,0.1681814683,2.116414017,2.441146935,3.342933923,0.4764370944,5.54556179,3.538540555,2.861303609,1.229455514,0.9364972774
694.4457014,459.6063348,2.836886749,37.33291217,15.52475573,442,1454,0.4386395216,16.64331627,727,473,728,464,-0.08561098319,35.20188385,0.1745047206,33.8407336,723,449,,,,,,,,,,,0.6603557142,,,,,,0.2512421702,0.1711066315,0.07956560364,0.1659262293,2.109624466,2.410204458,3.297557956,0.4547437933,5.54556179,3.53754971,2.864328357,1.236142556,0.9772166609
694.5327314,459.7923251,2.837408325,37.39602762,15.55250232,443,1455,0.4339938917,16.64331627,728,472,728,465,-0.0455827876,35.62422486,0.149817259,33.87001546,722,449,,,,,,,,,,,0.6785687971,,,,,,0.1444433001,0.1724223718,0.06057195079,0.1504439782,2.115099326,2.406530781,3.288601411,0.4322682348,5.54556179,3.539786626,2.872678959,1.241495589,0.9856287394
694.7892377,459.6053812,2.82373733,37.6946581,15.62547844,446,1470,0.4224456343,14.76482296,728,473,728,466,-0.06551124476,35.81020174,0.127636674,33.82079072,675,463,723,449,,,,,,,,,-2.653852136,0.6774444811,,,,,0.1854122466,0.3904226652,0.07527667612,0.1272438888,2.120518733,2.424150682,3.338219613,0.4278797361,5.54556179,3.545047655,2.876547184,1.24305864,0.9299333094
694.528169,459.5704225,2.84793012,37.29808494,15.11676827,426,1481,0.4326337843,14.86606884,727,474,728,466,-0.1245014273,35.53354068,0.1038849482,34.08376352,723,449,,,,,,,,,,,0.6491493666,,,,,,0.08361417468,0.6277185044,0.1045747058,0.1154289275,2.11742716,2.4500663,3.414212468,0.4320165485,5.54556179,3.549877589,2.87466957,1.242258315,0.904399325
694.7764977,459.6451613,2.826290893,37.72037653,15.37588195,434,1479,0.4403529909,14.86606884,727,474,728,466,-0.1037847237,35.27627383,0.1263091396,33.82580495,723,449,,,,,,,,,,,0.6759767305,,,,,,0.1256810087,0.585844691,0.1116279289,0.1180610235,2.109276191,2.442351033,3.433275779,0.4403367828,5.54556179,3.554013551,2.878261265,1.244083044,0.9179227772
694.7886364,459.65,2.836932276,37.36124034,15.59552829,440,1514,0.448007365,15.65247631,727,474,728,466,-0.1144408407,35.26321663,0.1157408666,33.81297347,724,484,723,449,,,,,,,,,-0.3902232832,0.6656275474,,,,,0.06084410148,0.4216896111,0.1140211771,0.115777095,2.108611589,2.425682192,3.414878824,0.4468572408,5.54556179,3.552270105,2.872380464,1.23994916,0.9418847074
